title,rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,detail_url,yes24_detail_url,performance_period,booking_rate,venue,source,crawled_at,final_rank
태양의서커스 〈쿠자〉,1,1.0,32.0,,5.0,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,https://ticket.yes24.com/Perf/53879,2025.10.11~12.28,13.2,잠실종합운동장 내 빅탑,both,2025-11-18T13:26:19.163407,1
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),2,2.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,,2025.11.27~2026.2.22,11.8,블루스퀘어 신한카드홀,interpark,2025-11-18T13:26:19.163417,2
뮤지컬 〈킹키부츠〉,3,3.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,,2025.12.17~2026.3.29,11.3,샤롯데씨어터,interpark,2025-11-18T13:26:19.163419,3
뮤지컬 데스노트(The Musical Death Note),4,4.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,,2025.10.14~2026.5.10,5.3,디큐브 링크아트센터,interpark,2025-11-18T13:26:19.163420,4
뮤지컬 〈미세스 다웃파이어〉,5,5.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,,2025.9.27~12.7,4.8,샤롯데씨어터,interpark,2025-11-18T13:26:19.163421,5
뮤지컬 〈한복 입은 남자〉,6,6.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,,2025.12.2~2026.3.8,4.0,충무아트센터 대극장,interpark,2025-11-18T13:26:19.163422,6
뮤지컬 〈빨래〉,7,7.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012969_p.gif,https://tickets.interpark.com/goods/25012969,,2025.10.3~2026.5.31,3.3,NOL 유니플렉스 2관,interpark,2025-11-18T13:26:19.163424,7
뮤지컬 〈렌트〉,8,8.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,,2025.11.9~2026.2.22,3.0,코엑스아티움,interpark,2025-11-18T13:26:19.163425,8
뮤지컬 〈EVITA〉,9,9.0,21.0,,4.0,https://ticketimage.interpark.com/Play/image/large/25/25013554_p.gif,https://tickets.interpark.com/goods/25013554,https://ticket.yes24.com/Perf/55328,2025.11.7~2026.1.11,2.9,광림아트센터 BBCH홀,both,2025-11-18T13:26:19.163426,9
뮤지컬 〈레드북〉,10,10.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,,2025.9.23~12.7,2.7,유니버설아트센터,interpark,2025-11-18T13:26:19.163427,10
뮤지컬 〈트레이스 유〉,11,11.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015463_p.gif,https://tickets.interpark.com/goods/25015463,,2025.12.4~2026.3.1,2.6,링크아트센터 벅스홀,interpark,2025-11-18T13:26:19.163428,11
뮤지컬 슈가 〈SUGAR〉,12,12.0,12.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015110_p.gif,https://tickets.interpark.com/goods/25015110,https://ticket.yes24.com/Perf/55750,2025.12.12~2026.2.22,2.4,한전아트센터,both,2025-11-18T13:26:19.163429,12
뮤지컬 〈위키드〉 내한공연 - 부산 (WICKED The Musical),13,13.0,24.0,,5.0,https://ticketimage.interpark.com/Play/image/large/25/25012917_p.gif,https://tickets.interpark.com/goods/25012917,https://ticket.yes24.com/Perf/55142,2025.11.13~2026.1.18,2.1,부산 드림씨어터,both,2025-11-18T13:26:19.163432,13
〈슬립노모어 서울〉 (Sleep No More Seoul),13,13.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25008376_p.gif,https://tickets.interpark.com/goods/25008376,,2025.7.24~12.31,2.1,매키탄 호텔 (The McKithan Hotel),interpark,2025-11-18T13:26:19.163431,14
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),15,15.0,8.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,https://ticket.yes24.com/Perf/55838,2026.1.7~3.22,1.6,예술의전당 오페라극장,both,2025-11-18T13:26:19.163433,15
〈라이프 오브 파이〉 한국 초연（Life of Pi）,16,16.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,,2025.11.29~2026.3.2,1.4,GS아트센터,interpark,2025-11-18T13:26:19.163434,16
뮤지컬 〈데카브리〉,17,17.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,,2025.9.10~11.30,1.4,NOL 서경스퀘어 스콘 1관,interpark,2025-11-18T13:26:19.163435,17
뮤지컬 〈아몬드〉,18,18.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,,2025.9.19~12.14,1.3,NOL 유니플렉스 1관,interpark,2025-11-18T13:26:19.163436,18
뮤지컬 〈MAD HATTER〉,18,18.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,,2025.10.22~2026.1.18,1.3,링크아트센터드림 드림2관,interpark,2025-11-18T13:26:19.163437,19
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,20,20.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,,2025.11.14~11.23,1.2,대구오페라하우스,interpark,2025-11-18T13:26:19.163438,20
2025 뮤지컬 〈미세스 다웃파이어〉 - 천안,21,21.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015325_p.gif,https://tickets.interpark.com/goods/25015325,,2025.12.27~12.28,1.1,천안예술의전당 대공연장,interpark,2025-11-18T13:26:19.163439,21
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,21,21.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,,2025.9.16~11.30,1.1,NOL 서경스퀘어 스콘 2관,interpark,2025-11-18T13:26:19.163440,22
쇼뮤지컬 ［와일드 와일드］,23,23.0,27.0,,0.0,https://ticketimage.interpark.com/Play/image/large/25/25006677_p.gif,https://tickets.interpark.com/goods/25006677,https://ticket.yes24.com/Perf/54920,2025.6.13~2026.1.31,0.8,와일드 와일드 전용관 (명보아트홀),both,2025-11-18T13:26:19.163441,23
뮤지컬 〈비틀쥬스〉,24,24.0,,,,https://ticketimage.interpark.com/Play/image/large/L0/L0000127_p.gif,,,2025.12.16~2026.3.22,0.7,LG아트센터 서울 LG SIGNATURE 홀,interpark,2025-11-18T13:26:19.163442,24
뮤지컬 〈이솝이야기〉,25,25.0,4.0,,4.0,https://ticketimage.interpark.com/Play/image/large/P0/P0004497_p.gif,,https://ticket.yes24.com/Perf/55944,2025.11.16~11.22,0.6,세종문화회관 M씨어터,both,2025-11-18T13:26:19.163444,25
강서구립극단 창작뮤지컬 ‘도연’,25,25.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016867_p.gif,https://tickets.interpark.com/goods/25016867,,2025.12.12~12.14,0.6,강서아트리움 아리홀,interpark,2025-11-18T13:26:19.163445,26
뮤지컬 〈팬레터〉 10주년 기념 공연,27,27.0,13.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,https://ticket.yes24.com/Perf/55736,2025.12.5~2026.2.22,0.6,예술의전당 CJ 토월극장,both,2025-11-18T13:26:19.163447,27
뮤지컬 〈맘마미아!〉 - 대구,27,27.0,18.0,,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,https://ticket.yes24.com/Perf/55450,2025.11.28~12.7,0.6,대구오페라하우스,both,2025-11-18T13:26:19.163446,28
어른이 뮤지컬 〈난쟁이들〉,29,29.0,19.0,,4.0,https://ticketimage.interpark.com/Play/image/large/25/25013784_p.gif,https://tickets.interpark.com/goods/25013784,https://ticket.yes24.com/Perf/55442,2025.11.5~2026.3.1,0.5,플러스씨어터,both,2025-11-18T13:26:19.163448,29
뮤지컬 〈말리〉,30,30.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016784_p.gif,https://tickets.interpark.com/goods/25016784,,2025.12.20~2026.2.15,0.5,백암아트홀,interpark,2025-11-18T13:26:19.163449,30
