title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 [나르치스와 골드문트],1,,,https://ticket.yes24.com/Perf/56091,,,,,,yes24,2025-11-18T13:26:04.303293
LOUD BRIDGE FESTIVAL SEOUL 2026,2,,,https://ticket.yes24.com/Perf/56040,,,,,,yes24,2025-11-18T13:26:04.303309
tuki. 1ST ASIA TOUR 2026 IN SEOUL,3,,,https://ticket.yes24.com/Perf/55989,,,,,,yes24,2025-11-18T13:26:04.303311
뮤지컬 <이솝이야기>,4,4.0,,https://ticket.yes24.com/Perf/55944,,,,,,yes24,2025-11-18T13:26:04.303313
2025 뮤지컬 [미드나잇 : 액터뮤지션],5,,,https://ticket.yes24.com/Perf/55930,,,,,,yes24,2025-11-18T13:26:04.303315
가족뮤지컬 [정승제의 수학대모험 : 수포자의 비밀] - 서울,6,,,https://ticket.yes24.com/Perf/55854,,,,,,yes24,2025-11-18T13:26:04.303317
연극 〈엘리펀트 송〉,7,,,https://ticket.yes24.com/Perf/55851,,,,,,yes24,2025-11-18T13:26:04.303319
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),8,,,https://ticket.yes24.com/Perf/55838,,,,,,yes24,2025-11-18T13:26:04.303320
지소쿠리클럽 연말 단독 콘서트 〈Into the Wild〉,9,,,https://ticket.yes24.com/Perf/55818,,,,,,yes24,2025-11-18T13:26:04.303322
뮤지컬 [해몽가],10,0.0,,https://ticket.yes24.com/Perf/55772,,,,,,yes24,2025-11-18T13:26:04.303323
뮤지컬 [어쩌면 해피엔딩] - YES24DAY,11,,,https://ticket.yes24.com/Perf/55763,,,,,,yes24,2025-11-18T13:26:04.303325
뮤지컬 슈가 [SUGAR],12,,,https://ticket.yes24.com/Perf/55750,,,,,,yes24,2025-11-18T13:26:04.303326
뮤지컬 〈팬레터〉 10주년 기념 공연,13,,,https://ticket.yes24.com/Perf/55736,,,,,,yes24,2025-11-18T13:26:04.303327
뮤지컬 [캐빈],14,,,https://ticket.yes24.com/Perf/55710,,,,,,yes24,2025-11-18T13:26:04.303329
뮤지컬 [존 도우],15,,,https://ticket.yes24.com/Perf/55670,,,,,,yes24,2025-11-18T13:26:04.303330
뮤지컬 크리스마스 캐럴,16,,,https://ticket.yes24.com/Perf/55607,,,,,,yes24,2025-11-18T13:26:04.303331
COUNTDOWN FANTASY 2025-2026,17,,,https://ticket.yes24.com/Perf/55543,,,,,,yes24,2025-11-18T13:26:04.303333
[부산] 뮤지컬 [맘마미아!],18,,,https://ticket.yes24.com/Perf/55450,,,,,,yes24,2025-11-18T13:26:04.303334
어른이 뮤지컬 [난쟁이들],19,4.0,,https://ticket.yes24.com/Perf/55442,,,,,,yes24,2025-11-18T13:26:04.303335
BAC 초이스 Ⅵ 뮤지컬 〈이매지너리〉,20,,,https://ticket.yes24.com/Perf/55358,,,,,,yes24,2025-11-18T13:26:04.303337
뮤지컬 [EVITA],21,4.0,,https://ticket.yes24.com/Perf/55328,,,,,,yes24,2025-11-18T13:26:04.303338
[부산] 이은결 ＜TRACK＞,22,,,https://ticket.yes24.com/Perf/55304,,,,,,yes24,2025-11-18T13:26:04.303339
창작뮤지컬 [님만헤민 게스트하우스],23,0.0,,https://ticket.yes24.com/Perf/55273,,,,,,yes24,2025-11-18T13:26:04.303340
뮤지컬 [위키드] 내한공연 - 부산 (WICKED The Musical),24,5.0,,https://ticket.yes24.com/Perf/55142,,,,,,yes24,2025-11-18T13:26:04.303341
뮤지컬 [바람으로의 여행],25,0.0,,https://ticket.yes24.com/Perf/55079,,,,,,yes24,2025-11-18T13:26:04.303343
뮤지컬 ［인사이드 윌리엄］- 대전,26,,,https://ticket.yes24.com/Perf/54967,,,,,,yes24,2025-11-18T13:26:04.303344
쥬크박스 뮤지컬 [쇼 머스트 고 온 in 대학로],27,0.0,,https://ticket.yes24.com/Perf/54920,,,,,,yes24,2025-11-18T13:26:04.303346
뮤지컬 [그레이하우스],28,4.0,,https://ticket.yes24.com/Perf/54914,,,,,,yes24,2025-11-18T13:26:04.303347
[비지정석] 뮤지컬 [김종욱 찾기],29,0.0,,https://ticket.yes24.com/Perf/54861,,,,,,yes24,2025-11-18T13:26:04.303349
뮤지컬 [후크],30,4.0,,https://ticket.yes24.com/Perf/54857,,,,,,yes24,2025-11-18T13:26:04.303350
뮤지컬 [라흐마니노프],31,4.0,,https://ticket.yes24.com/Perf/54744,,,,,,yes24,2025-11-18T13:26:04.303351
[서울] 태양의서커스 [쿠자],32,5.0,,https://ticket.yes24.com/Perf/53879,,,,,,yes24,2025-11-18T13:26:04.303353
[부산] 뮤지컬 [어서 오세요， 휴남동 서점입니다],33,0.0,,https://ticket.yes24.com/Perf/52271,,,,,,yes24,2025-11-18T13:26:04.303354
[비지정석] 뮤지컬 [연남동 빙굴빙굴 빨래방] - 2025년 공연,34,0.0,,https://ticket.yes24.com/Perf/51850,,,,,,yes24,2025-11-18T13:26:04.303355
뮤지컬 드라큘라(Dracula) OST [10TH ANNIVERSARY CAST RECORDING],35,5.0,,https://ticket.yes24.com/Perf/51497,,,,,,yes24,2025-11-18T13:26:04.303357
페인터즈-광화문전용관,36,5.0,,https://ticket.yes24.com/Perf/49034,,,,,,yes24,2025-11-18T13:26:04.303358
25 뮤지컬 천로역정,37,5.0,,https://ticket.yes24.com/Perf/47835,,,,,,yes24,2025-11-18T13:26:04.303360
25 스크루테이프의 편지,38,5.0,,https://ticket.yes24.com/Perf/40844,,,,,,yes24,2025-11-18T13:26:04.303361
락뮤지컬 [프리즌],39,5.0,,https://ticket.yes24.com/Perf/38930,,,,,,yes24,2025-11-18T13:26:04.303362
[삼척] 가족뮤지컬 [빨간모자와늑대],40,0.0,,https://ticket.yes24.com/Perf/31334,,,,,,yes24,2025-11-18T13:26:04.303364
