title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 〈타조 소년들〉,29,9.8,https://ticketimage.interpark.com/Play/image/large/25/25011178_p.gif,https://tickets.interpark.com/goods/25011178,,0.5,,,,interpark,2025-11-04T16:21:31.070150
뮤지컬〈#0528〉,30,9.5,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,https://tickets.interpark.com/goods/25013154,2025.10.22 ~ 2026.1.11,0.5,,,,interpark,2025-11-04T16:21:31.070152
뮤지컬 〈빨래〉 20주년 콘서트,31,,https://ticketimage.interpark.com/Play/image/large/25/25013156_p.gif,https://tickets.interpark.com/goods/25013156,,0.5,,,,interpark,2025-11-04T16:21:31.070153
뮤지컬 〈데카브리〉,32,9.7,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,,0.5,,,,interpark,2025-11-04T16:21:31.070154
쇼뮤지컬 터치 파이브 〈TOUCH FIVE〉,33,9.8,https://ticketimage.interpark.com/Play/image/large/24/24014659_p.gif,https://tickets.interpark.com/goods/24014659,2024.11.8 ~ 2025.12.31,0.5,,,,interpark,2025-11-04T16:21:31.070155
2026 최현우 아판타시아 - 용인,34,,https://ticketimage.interpark.com/Play/image/large/25/25015580_p.gif,https://tickets.interpark.com/goods/25015580,,0.5,,,,interpark,2025-11-04T16:21:31.070156
뮤지컬 〈비하인드 더 문 (Behind the Moon)〉,35,,https://ticketimage.interpark.com/Play/image/large/25/25013716_p.gif,https://tickets.interpark.com/goods/25013716,2025.11.11 ~ 2026.2.8,0.5,,,,interpark,2025-11-04T16:21:31.070157
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 세종시,36,,https://ticketimage.interpark.com/Play/image/large/25/25013341_p.gif,https://tickets.interpark.com/goods/25013341,,0.4,,,,interpark,2025-11-04T16:21:31.070158
뮤지컬 〈킹키부츠〉 - 성남,37,,https://ticketimage.interpark.com/Play/image/large/25/25013892_p.gif,https://tickets.interpark.com/goods/25013892,,0.4,,,,interpark,2025-11-04T16:21:31.070159
뮤지컬 〈테이크 오프〉,38,,https://ticketimage.interpark.com/Play/image/large/25/25014904_p.gif,https://tickets.interpark.com/goods/25014904,2025.11.14 ~ 2026.2.1,0.4,,,,interpark,2025-11-04T16:21:31.070161
