title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 〈이솝이야기〉,25,,https://ticketimage.interpark.com/Play/image/large/P0/P0004497_p.gif,,2025.11.16~11.22,0.6,,세종문화회관 M씨어터,,interpark,2025-11-18T13:26:19.163444
강서구립극단 창작뮤지컬 ‘도연’,25,,https://ticketimage.interpark.com/Play/image/large/25/25016867_p.gif,https://tickets.interpark.com/goods/25016867,2025.12.12~12.14,0.6,,강서아트리움 아리홀,,interpark,2025-11-18T13:26:19.163445
뮤지컬 〈맘마미아!〉 - 대구,27,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,2025.11.28~12.7,0.6,,대구오페라하우스,,interpark,2025-11-18T13:26:19.163446
뮤지컬 〈팬레터〉 10주년 기념 공연,27,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,2025.12.5~2026.2.22,0.6,,예술의전당 CJ 토월극장,,interpark,2025-11-18T13:26:19.163447
어른이 뮤지컬 〈난쟁이들〉,29,,https://ticketimage.interpark.com/Play/image/large/25/25013784_p.gif,https://tickets.interpark.com/goods/25013784,2025.11.5~2026.3.1,0.5,,플러스씨어터,,interpark,2025-11-18T13:26:19.163448
뮤지컬 〈말리〉,30,,https://ticketimage.interpark.com/Play/image/large/25/25016784_p.gif,https://tickets.interpark.com/goods/25016784,2025.12.20~2026.2.15,0.5,,백암아트홀,,interpark,2025-11-18T13:26:19.163449
이은결 〈TRACK〉 - 크리스마스 수원,31,,https://ticketimage.interpark.com/Play/image/large/25/25014398_p.gif,https://tickets.interpark.com/goods/25014398,2025.12.25~12.27,0.5,,경기아트센터 대극장,,interpark,2025-11-18T13:26:19.163450
뮤지컬 〈앤ANNE〉 10th Anniversary,31,,https://ticketimage.interpark.com/Play/image/large/25/25014944_p.gif,https://tickets.interpark.com/goods/25014944,2025.11.15~2026.2.15,0.5,,대학로 자유극장,,interpark,2025-11-18T13:26:19.163452
뮤지컬 〈미세스 다웃파이어〉 - 세종시,33,,https://ticketimage.interpark.com/Play/image/large/25/25015113_p.gif,https://tickets.interpark.com/goods/25015113,2025.12.19~12.21,0.4,,세종예술의전당(세종특별자치시),,interpark,2025-11-18T13:26:19.163453
뮤지컬 바람으로의 여행,33,,https://ticketimage.interpark.com/Play/image/large/25/25012829_p.gif,https://tickets.interpark.com/goods/25012829,2025.11.7~2026.1.11,0.4,,대학로 스튜디오 블루,,interpark,2025-11-18T13:26:19.163454
