title,rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,detail_url,yes24_detail_url,performance_period,booking_rate,venue,source,crawled_at,final_rank
2025 뮤지컬 〈미세스 다웃파이어〉 - 천안,26,26.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015325_p.gif,https://tickets.interpark.com/goods/25015325,,,0.5,,interpark,2025-11-04T16:22:36.642284,25
쇼뮤지컬 ［와일드 와일드］,27,27.0,25.0,9.8,0.0,https://ticketimage.interpark.com/Play/image/large/25/25006677_p.gif,https://tickets.interpark.com/goods/25006677,https://ticket.yes24.com/Perf/54920,2025.6.13 ~ 2026.1.31,0.5,,both,2025-11-04T16:22:36.642285,26
뮤지컬 〈맘마미아!〉 - 평택,28,28.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015923_p.gif,https://tickets.interpark.com/goods/25015923,,,0.5,,interpark,2025-11-04T16:22:36.642286,27
뮤지컬 〈타조 소년들〉,29,29.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25011178_p.gif,https://tickets.interpark.com/goods/25011178,,,0.5,,interpark,2025-11-04T16:22:36.642287,28
뮤지컬〈#0528〉,30,30.0,,9.5,,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,https://tickets.interpark.com/goods/25013154,,2025.10.22 ~ 2026.1.11,0.5,,interpark,2025-11-04T16:22:36.642289,29
뮤지컬 〈빨래〉 20주년 콘서트,31,31.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013156_p.gif,https://tickets.interpark.com/goods/25013156,,,0.5,,interpark,2025-11-04T16:22:36.642290,30
뮤지컬 〈데카브리〉,32,32.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,,,0.5,,interpark,2025-11-04T16:22:36.642291,31
쇼뮤지컬 터치 파이브 〈TOUCH FIVE〉,33,33.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/24/24014659_p.gif,https://tickets.interpark.com/goods/24014659,,2024.11.8 ~ 2025.12.31,0.5,,interpark,2025-11-04T16:22:36.642292,32
2026 최현우 아판타시아 - 용인,34,34.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015580_p.gif,https://tickets.interpark.com/goods/25015580,,,0.5,,interpark,2025-11-04T16:22:36.642293,33
뮤지컬 〈비하인드 더 문 (Behind the Moon)〉,35,35.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013716_p.gif,https://tickets.interpark.com/goods/25013716,,2025.11.11 ~ 2026.2.8,0.5,,interpark,2025-11-04T16:22:36.642295,34
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 세종시,36,36.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013341_p.gif,https://tickets.interpark.com/goods/25013341,,,0.4,,interpark,2025-11-04T16:22:36.642296,35
뮤지컬 〈킹키부츠〉 - 성남,37,37.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013892_p.gif,https://tickets.interpark.com/goods/25013892,,,0.4,,interpark,2025-11-04T16:22:36.642297,36
뮤지컬 〈테이크 오프〉,38,38.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014904_p.gif,https://tickets.interpark.com/goods/25014904,,2025.11.14 ~ 2026.2.1,0.4,,interpark,2025-11-04T16:22:36.642298,37
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,39,39.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,,,0.4,,interpark,2025-11-04T16:22:36.642299,38
뮤지컬 〈팬레터〉 10주년 기념 공연,40,40.0,7.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,https://ticket.yes24.com/Perf/55736,2025.12.5 ~ 2026.2.22,0.4,,both,2025-11-04T16:22:36.642300,39
