title,combined_rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,interpark_detail_url,yes24_detail_url,performance_period,cast,venue,sources,final_rank
뮤지컬 〈MAD HATTER〉,1.0,1.0,,9.9,,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,,2025.10.22 ~ 2026.1.18,,,['interpark'],1
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),1.5,2.0,1.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,https://ticket.yes24.com/Perf/55838,,,,"['interpark', 'yes24']",2
IDOL RADIO Special : SUPER VIBE KOREA,2.0,,2.0,,,,,https://ticket.yes24.com/Perf/55825,,,,['yes24'],3
태양의서커스 〈쿠자〉,3.0,3.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,,,,,['interpark'],4
지소쿠리클럽 연말 단독 콘서트 〈Into the Wild〉,3.0,,3.0,,,,,https://ticket.yes24.com/Perf/55818,,,,['yes24'],5
뮤지컬 〈아몬드〉,4.0,4.0,,9.4,,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,,,,,['interpark'],6
뮤지컬 [해몽가],4.0,,4.0,,,,,https://ticket.yes24.com/Perf/55772,,,,['yes24'],7
뮤지컬 [어쩌면 해피엔딩] - YES24DAY,5.0,,5.0,,,,,https://ticket.yes24.com/Perf/55763,,,,['yes24'],8
〈라이프 오브 파이〉 한국 초연（Life of Pi）,5.0,5.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,,2025.11.29 ~ 2026.3.2,,,['interpark'],9
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),6.0,6.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,,2025.11.27 ~ 2026.2.22,,,['interpark'],10
뮤지컬 슈가 [SUGAR],6.0,,6.0,,,,,https://ticket.yes24.com/Perf/55750,,,,['yes24'],11
화성시 예술단 뮤지컬 「틸틸과 미틸」 - 화성,7.0,7.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016096_p.gif,https://tickets.interpark.com/goods/25016096,,,,,['interpark'],12
뮤지컬 [캐빈],8.0,,8.0,,,,,https://ticket.yes24.com/Perf/55710,,,,['yes24'],13
뮤지컬 〈미세스 다웃파이어〉,8.0,8.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,,,,,['interpark'],14
뮤지컬 [존 도우],9.0,,9.0,,,,,https://ticket.yes24.com/Perf/55670,,,,['yes24'],15
뮤지컬 데스노트(The Musical Death Note),9.0,9.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,,2025.10.14 ~ 2026.5.10,,,['interpark'],16
뮤지컬 크리스마스 캐럴,10.0,,10.0,,,,,https://ticket.yes24.com/Perf/55607,,,,['yes24'],17
뮤지컬 〈한복 입은 남자〉,10.0,10.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,,2025.12.2 ~ 2026.3.8,,,['interpark'],18
뮤지컬 〈레드북〉,11.0,11.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,,,,,['interpark'],19
뮤지컬 [바둑이와 세리],11.0,,11.0,,0.0,,,https://ticket.yes24.com/Perf/55567,,,,['yes24'],20
뮤지컬 〈렌트〉,12.0,12.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,,2025.11.9 ~ 2026.2.22,,,['interpark'],21
COUNTDOWN FANTASY 2025-2026,12.0,,12.0,,,,,https://ticket.yes24.com/Perf/55543,,,,['yes24'],22
[창원] 뮤지컬 [여명],13.0,,13.0,,,,,https://ticket.yes24.com/Perf/55502,,,,['yes24'],23
뮤지컬 〈킹키부츠〉,13.0,13.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,,2025.12.17 ~ 2026.3.29,,,['interpark'],24
연극 〈타지마할의 근위병〉,14.0,,14.0,,,,,https://ticket.yes24.com/Perf/55481,,,,['yes24'],25
뮤지컬 〈보니 앤 클라이드〉,14.0,14.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015688_p.gif,https://tickets.interpark.com/goods/25015688,,2025.12.11 ~ 2026.3.2,,,['interpark'],26
어른이 뮤지컬 [난쟁이들],15.0,,15.0,,,,,https://ticket.yes24.com/Perf/55442,,,,['yes24'],27
뮤지컬 〈빨래〉,16.0,16.0,,9.4,,https://ticketimage.interpark.com/Play/image/large/25/25012969_p.gif,https://tickets.interpark.com/goods/25012969,,2025.10.3 ~ 2026.5.31,,,['interpark'],28
BAC 초이스 Ⅵ 뮤지컬 〈이매지너리〉,16.0,,16.0,,,,,https://ticket.yes24.com/Perf/55358,,,,['yes24'],29
〈슬립노모어 서울〉 (Sleep No More Seoul),17.0,17.0,,9.0,,https://ticketimage.interpark.com/Play/image/large/25/25008376_p.gif,https://tickets.interpark.com/goods/25008376,,,,,['interpark'],30
[라이프 오브 파이] 한국 초연（Life of Pi）,17.0,,17.0,,,,,https://ticket.yes24.com/Perf/55338,,,,['yes24'],31
뮤지컬 [EVITA],18.0,,18.0,,,,,https://ticket.yes24.com/Perf/55328,,,,['yes24'],32
뮤지컬 〈위키드〉 내한공연 - 부산 (WICKED The Musical),18.0,18.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012917_p.gif,https://tickets.interpark.com/goods/25012917,,2025.11.13 ~ 2026.1.18,,,['interpark'],33
뮤지컬 〈EVITA〉,19.0,19.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013554_p.gif,https://tickets.interpark.com/goods/25013554,,2025.11.7 ~ 2026.1.11,,,['interpark'],34
주민진 콘서트 [기적：From Universe],19.0,,19.0,,4.0,,,https://ticket.yes24.com/Perf/55324,,,,['yes24'],35
뮤지컬 〈킹키부츠〉 - 고양,20.0,20.0,,9.9,,https://ticketimage.interpark.com/Play/image/large/25/25013702_p.gif,https://tickets.interpark.com/goods/25013702,,,,,['interpark'],36
[부산] 이은결 ＜TRACK＞,20.0,,20.0,,,,,https://ticket.yes24.com/Perf/55304,,,,['yes24'],37
뮤지컬 위대한개츠비(The Great Gatsby) - 서울 오리지널 프로덕션,21.0,21.0,,9.0,,https://ticketimage.interpark.com/Play/image/large/25/25006972_p.gif,https://tickets.interpark.com/goods/25006972,,,,,['interpark'],38
창작뮤지컬 [님만헤민 게스트하우스],21.0,,21.0,,0.0,,,https://ticket.yes24.com/Perf/55273,,,,['yes24'],39
어른이 뮤지컬 〈난쟁이들〉,22.0,22.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013784_p.gif,https://tickets.interpark.com/goods/25013784,,2025.11.5 ~ 2026.3.1,,,['interpark'],40
뮤지컬 [바람으로의 여행],22.0,,22.0,,,,,https://ticket.yes24.com/Perf/55079,,,,['yes24'],41
뮤지컬 ［인사이드 윌리엄］- 대전,23.0,,23.0,,,,,https://ticket.yes24.com/Perf/54967,,,,['yes24'],42
