title,combined_rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,interpark_detail_url,yes24_detail_url,performance_period,cast,venue,sources,final_rank
뮤지컬 〈마리 퀴리〉 - 부평,23.0,23.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013882_p.gif,https://tickets.interpark.com/goods/25013882,,,,,['interpark'],43
뮤지컬 〈팬레터〉 10주년 기념 공연,23.5,40.0,7.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,https://ticket.yes24.com/Perf/55736,2025.12.5 ~ 2026.2.22,,,"['interpark', 'yes24']",44
뮤지컬 〈라흐마니노프〉,24.0,24.0,,9.0,,https://ticketimage.interpark.com/Play/image/large/25/25011131_p.gif,https://tickets.interpark.com/goods/25011131,,,,,['interpark'],45
제20회 부산불꽃축제,24.0,,24.0,,,,,https://ticket.yes24.com/Perf/54955,,,,['yes24'],46
2025 최현우 아판타시아 - 서울,25.0,25.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25013005_p.gif,https://tickets.interpark.com/goods/25013005,,,,,['interpark'],47
쥬크박스 뮤지컬 [쇼 머스트 고 온 in 대학로],25.0,,25.0,,0.0,,,https://ticket.yes24.com/Perf/54920,,,,['yes24'],48
뮤지컬 [그레이하우스],26.0,,26.0,,4.0,,,https://ticket.yes24.com/Perf/54914,,,,['yes24'],49
2025 뮤지컬 〈미세스 다웃파이어〉 - 천안,26.0,26.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015325_p.gif,https://tickets.interpark.com/goods/25015325,,,,,['interpark'],50
쇼뮤지컬 ［와일드 와일드］,27.0,27.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25006677_p.gif,https://tickets.interpark.com/goods/25006677,,2025.6.13 ~ 2026.1.31,,,['interpark'],51
[얼리버드] 장 미셸 바스키아：과거와 미래를 잇는 상징적 기호들,27.0,,27.0,,0.0,,,https://ticket.yes24.com/Perf/54876,,,,['yes24'],52
뮤지컬 〈맘마미아!〉 - 평택,28.0,28.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015923_p.gif,https://tickets.interpark.com/goods/25015923,,,,,['interpark'],53
[비지정석] 뮤지컬 [김종욱 찾기],28.0,,28.0,,0.0,,,https://ticket.yes24.com/Perf/54861,,,,['yes24'],54
뮤지컬 [후크],29.0,,29.0,,4.0,,,https://ticket.yes24.com/Perf/54857,,,,['yes24'],55
뮤지컬 〈타조 소년들〉,29.0,29.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25011178_p.gif,https://tickets.interpark.com/goods/25011178,,,,,['interpark'],56
뮤지컬〈#0528〉,30.0,30.0,,9.5,,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,https://tickets.interpark.com/goods/25013154,,2025.10.22 ~ 2026.1.11,,,['interpark'],57
뮤지컬 [라흐마니노프],30.0,,30.0,,4.0,,,https://ticket.yes24.com/Perf/54744,,,,['yes24'],58
뮤지컬 〈빨래〉 20주년 콘서트,31.0,31.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013156_p.gif,https://tickets.interpark.com/goods/25013156,,,,,['interpark'],59
연극 〈에쿠우스 ´EQUUS´〉: 한국 초연 50주년 기념공연,31.0,,31.0,,4.0,,,https://ticket.yes24.com/Perf/54678,,,,['yes24'],60
뮤지컬 〈데카브리〉,32.0,32.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,,,,,['interpark'],61
[서울] 태양의서커스 [쿠자],32.0,,32.0,,5.0,,,https://ticket.yes24.com/Perf/53879,,,,['yes24'],62
뮤지컬 써니텐,33.0,,33.0,,5.0,,,https://ticket.yes24.com/Perf/52880,,,,['yes24'],63
쇼뮤지컬 터치 파이브 〈TOUCH FIVE〉,33.0,33.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/24/24014659_p.gif,https://tickets.interpark.com/goods/24014659,,2024.11.8 ~ 2025.12.31,,,['interpark'],64
2026 최현우 아판타시아 - 용인,34.0,34.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015580_p.gif,https://tickets.interpark.com/goods/25015580,,,,,['interpark'],65
해리 포터와 죽음의 성물™ Part,34.0,,34.0,,5.0,,,https://ticket.yes24.com/Perf/52508,,,,['yes24'],66
[부산] 뮤지컬 [어서 오세요， 휴남동 서점입니다],35.0,,35.0,,0.0,,,https://ticket.yes24.com/Perf/52271,,,,['yes24'],67
뮤지컬 〈비하인드 더 문 (Behind the Moon)〉,35.0,35.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013716_p.gif,https://tickets.interpark.com/goods/25013716,,2025.11.11 ~ 2026.2.8,,,['interpark'],68
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 세종시,36.0,36.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013341_p.gif,https://tickets.interpark.com/goods/25013341,,,,,['interpark'],69
[비지정석] 뮤지컬 [연남동 빙굴빙굴 빨래방] - 2025년 공연,36.0,,36.0,,0.0,,,https://ticket.yes24.com/Perf/51850,,,,['yes24'],70
뮤지컬 드라큘라(Dracula) OST [10TH ANNIVERSARY CAST RECORDING],37.0,,37.0,,5.0,,,https://ticket.yes24.com/Perf/51497,,,,['yes24'],71
뮤지컬 〈킹키부츠〉 - 성남,37.0,37.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013892_p.gif,https://tickets.interpark.com/goods/25013892,,,,,['interpark'],72
페인터즈-광화문전용관,38.0,,38.0,,5.0,,,https://ticket.yes24.com/Perf/49034,,,,['yes24'],73
뮤지컬 〈테이크 오프〉,38.0,38.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014904_p.gif,https://tickets.interpark.com/goods/25014904,,2025.11.14 ~ 2026.2.1,,,['interpark'],74
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,39.0,39.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,,,,,['interpark'],75
25 뮤지컬 천로역정,39.0,,39.0,,5.0,,,https://ticket.yes24.com/Perf/47835,,,,['yes24'],76
25 스크루테이프의 편지,40.0,,40.0,,5.0,,,https://ticket.yes24.com/Perf/40844,,,,['yes24'],77
뮤지컬 〈미세스 다웃파이어〉 - 세종시,41.0,41.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015113_p.gif,https://tickets.interpark.com/goods/25015113,,,,,['interpark'],78
락뮤지컬 [프리즌],41.0,,41.0,,5.0,,,https://ticket.yes24.com/Perf/38930,,,,['yes24'],79
[삼척] 가족뮤지컬 [빨간모자와늑대],42.0,,42.0,,0.0,,,https://ticket.yes24.com/Perf/31334,,,,['yes24'],80
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,42.0,42.0,,9.9,,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,,,,,['interpark'],81
이은결 〈TRACK〉 - 크리스마스 수원,43.0,43.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014398_p.gif,https://tickets.interpark.com/goods/25014398,,,,,['interpark'],82
뮤지컬 〈맘마미아!〉 - 대구,44.0,44.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,,,,,['interpark'],83
난타(NANTA) - 명동공연,45.0,45.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/22/22006637_p.gif,https://tickets.interpark.com/goods/22006637,,2022.7.8 ~ 2026.3.31,,,['interpark'],84
뮤지컬 〈푸른 사자 와니니〉,46.0,46.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015219_p.gif,https://tickets.interpark.com/goods/25015219,,,,,['interpark'],85
뮤지컬 〈맘마미아!〉 - 안산,47.0,47.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015231_p.gif,https://tickets.interpark.com/goods/25015231,,,,,['interpark'],86
뮤지컬 〈빨래〉 - 대구,48.0,48.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013473_p.gif,https://tickets.interpark.com/goods/25013473,,,,,['interpark'],87
뮤지컬 〈르 마스크〉,49.0,49.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25009176_p.gif,https://tickets.interpark.com/goods/25009176,,,,,['interpark'],88
뮤지컬 〈미세스 다웃파이어〉 - 수원,50.0,50.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015757_p.gif,https://tickets.interpark.com/goods/25015757,,,,,['interpark'],89
