title,combined_rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,interpark_detail_url,yes24_detail_url,performance_period,cast,venue,sources,final_rank
뮤지컬 〈MAD HATTER〉,18.0,18.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,,2025.10.22~2026.1.18,,링크아트센터드림 드림2관,['interpark'],33
뮤지컬 〈아몬드〉,18.0,18.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,,2025.9.19~12.14,,NOL 유니플렉스 1관,['interpark'],34
[부산] 뮤지컬 [맘마미아!],18.0,,18.0,,,,,https://ticket.yes24.com/Perf/55450,,,,['yes24'],35
어른이 뮤지컬 [난쟁이들],19.0,,19.0,,4.0,,,https://ticket.yes24.com/Perf/55442,,,,['yes24'],36
BAC 초이스 Ⅵ 뮤지컬 〈이매지너리〉,20.0,,20.0,,,,,https://ticket.yes24.com/Perf/55358,,,,['yes24'],37
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,20.0,20.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,,2025.11.14~11.23,,대구오페라하우스,['interpark'],38
뮤지컬 〈팬레터〉 10주년 기념 공연,20.0,27.0,13.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015215_p.gif,https://tickets.interpark.com/goods/25015215,https://ticket.yes24.com/Perf/55736,2025.12.5~2026.2.22,,예술의전당 CJ 토월극장,"['interpark', 'yes24']",39
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,21.0,21.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,,2025.9.16~11.30,,NOL 서경스퀘어 스콘 2관,['interpark'],40
뮤지컬 [EVITA],21.0,,21.0,,4.0,,,https://ticket.yes24.com/Perf/55328,,,,['yes24'],41
2025 뮤지컬 〈미세스 다웃파이어〉 - 천안,21.0,21.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015325_p.gif,https://tickets.interpark.com/goods/25015325,,2025.12.27~12.28,,천안예술의전당 대공연장,['interpark'],42
[부산] 이은결 ＜TRACK＞,22.0,,22.0,,,,,https://ticket.yes24.com/Perf/55304,,,,['yes24'],43
창작뮤지컬 [님만헤민 게스트하우스],23.0,,23.0,,0.0,,,https://ticket.yes24.com/Perf/55273,,,,['yes24'],44
쇼뮤지컬 ［와일드 와일드］,23.0,23.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25006677_p.gif,https://tickets.interpark.com/goods/25006677,,2025.6.13~2026.1.31,,와일드 와일드 전용관 (명보아트홀),['interpark'],45
뮤지컬 [위키드] 내한공연 - 부산 (WICKED The Musical),24.0,,24.0,,5.0,,,https://ticket.yes24.com/Perf/55142,,,,['yes24'],46
뮤지컬 〈비틀쥬스〉,24.0,24.0,,,,https://ticketimage.interpark.com/Play/image/large/L0/L0000127_p.gif,,,2025.12.16~2026.3.22,,LG아트센터 서울 LG SIGNATURE 홀,['interpark'],47
뮤지컬 [바람으로의 여행],25.0,,25.0,,0.0,,,https://ticket.yes24.com/Perf/55079,,,,['yes24'],48
강서구립극단 창작뮤지컬 ‘도연’,25.0,25.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016867_p.gif,https://tickets.interpark.com/goods/25016867,,2025.12.12~12.14,,강서아트리움 아리홀,['interpark'],49
뮤지컬 〈이솝이야기〉,25.0,25.0,,,,https://ticketimage.interpark.com/Play/image/large/P0/P0004497_p.gif,,,2025.11.16~11.22,,세종문화회관 M씨어터,['interpark'],50
뮤지컬 ［인사이드 윌리엄］- 대전,26.0,,26.0,,,,,https://ticket.yes24.com/Perf/54967,,,,['yes24'],51
쥬크박스 뮤지컬 [쇼 머스트 고 온 in 대학로],27.0,,27.0,,0.0,,,https://ticket.yes24.com/Perf/54920,,,,['yes24'],52
뮤지컬 〈맘마미아!〉 - 대구,27.0,27.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014015_p.gif,https://tickets.interpark.com/goods/25014015,,2025.11.28~12.7,,대구오페라하우스,['interpark'],53
뮤지컬 [그레이하우스],28.0,,28.0,,4.0,,,https://ticket.yes24.com/Perf/54914,,,,['yes24'],54
어른이 뮤지컬 〈난쟁이들〉,29.0,29.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013784_p.gif,https://tickets.interpark.com/goods/25013784,,2025.11.5~2026.3.1,,플러스씨어터,['interpark'],55
[비지정석] 뮤지컬 [김종욱 찾기],29.0,,29.0,,0.0,,,https://ticket.yes24.com/Perf/54861,,,,['yes24'],56
뮤지컬 [후크],30.0,,30.0,,4.0,,,https://ticket.yes24.com/Perf/54857,,,,['yes24'],57
뮤지컬 〈말리〉,30.0,30.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016784_p.gif,https://tickets.interpark.com/goods/25016784,,2025.12.20~2026.2.15,,백암아트홀,['interpark'],58
이은결 〈TRACK〉 - 크리스마스 수원,31.0,31.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014398_p.gif,https://tickets.interpark.com/goods/25014398,,2025.12.25~12.27,,경기아트센터 대극장,['interpark'],59
뮤지컬 〈앤ANNE〉 10th Anniversary,31.0,31.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014944_p.gif,https://tickets.interpark.com/goods/25014944,,2025.11.15~2026.2.15,,대학로 자유극장,['interpark'],60
뮤지컬 [라흐마니노프],31.0,,31.0,,4.0,,,https://ticket.yes24.com/Perf/54744,,,,['yes24'],61
[서울] 태양의서커스 [쿠자],32.0,,32.0,,5.0,,,https://ticket.yes24.com/Perf/53879,,,,['yes24'],62
[부산] 뮤지컬 [어서 오세요， 휴남동 서점입니다],33.0,,33.0,,0.0,,,https://ticket.yes24.com/Perf/52271,,,,['yes24'],63
뮤지컬 바람으로의 여행,33.0,33.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012829_p.gif,https://tickets.interpark.com/goods/25012829,,2025.11.7~2026.1.11,,대학로 스튜디오 블루,['interpark'],64
